Latitude,Longitude,Crime Description,Count,Hour,Crime Frequency
33.7176,-118.3039,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1,9,1
33.7176,-118.2917,THEFT PLAIN - PETTY ($950 & UNDER),1,15,1
33.7176,-118.2829,RESISTING ARREST,1,11,1
33.7177,-118.2937,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2,23,3
33.7177,-118.287,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,1,11,1
33.7178,-118.3193,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",7,17,7
33.7178,-118.2979,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),2,12,2
33.7178,-118.2975,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),2,19,4
33.7179,-118.2961,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1,18,1
33.7179,-118.2929,BATTERY - SIMPLE ASSAULT,1,7,1
33.7179,-118.2919,INTIMATE PARTNER - SIMPLE ASSAULT,2,18,3
33.7179,-118.2916,"BUNCO, GRAND THEFT",1,19,1
33.7179,-118.2907,BATTERY - SIMPLE ASSAULT,2,18,2
33.7179,-118.2898,VEHICLE - STOLEN,5,3,2
33.7179,-118.2889,VEHICLE - STOLEN,2,10,1
33.7179,-118.2844,BURGLARY FROM VEHICLE,1,8,2
33.7179,-118.2842,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1,13,1
33.7179,-118.2841,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1,16,1
33.718,-118.3076,THEFT OF IDENTITY,2,4,1
33.7181,-118.2988,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1,18,1
33.7181,-118.2804,BURGLARY FROM VEHICLE,2,9,1
33.7182,-118.305,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,8,1
33.7182,-118.2949,ROBBERY,8,8,4
33.7183,-118.2994,BATTERY - SIMPLE ASSAULT,3,2,1
33.7183,-118.2929,VEHICLE - STOLEN,1,23,1
33.7183,-118.2917,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1,12,1
33.7184,-118.3003,BATTERY - SIMPLE ASSAULT,3,15,3
33.7184,-118.2994,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1,12,1
33.7185,-118.3035,BURGLARY,1,0,1
33.7185,-118.2977,BURGLARY,1,3,1
33.7185,-118.2957,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1,0,1
33.7185,-118.2937,VEHICLE - STOLEN,1,23,1
33.7186,-118.3012,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,8,1
33.7186,-118.2879,VEHICLE - STOLEN,1,19,1
33.7188,-118.3082,VIOLATION OF COURT ORDER,1,7,1
33.7188,-118.305,INTIMATE PARTNER - SIMPLE ASSAULT,2,19,2
33.7188,-118.2939,VEHICLE - STOLEN,4,10,2
33.7188,-118.2933,VEHICLE - STOLEN,1,18,1
33.7188,-118.2929,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1,13,1
33.7188,-118.2917,VEHICLE - STOLEN,2,9,2
33.7188,-118.2907,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,20,2
33.7188,-118.2898,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2,12,3
33.7188,-118.2889,VEHICLE - STOLEN,2,3,1
33.7188,-118.2879,BRANDISH WEAPON,1,14,1
33.7189,-118.3205,ROBBERY,1,0,1
33.7189,-118.3201,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,0,1
33.7189,-118.3023,THEFT OF IDENTITY,1,17,2
33.7189,-118.2943,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2,17,3
33.7189,-118.2858,BATTERY - SIMPLE ASSAULT,1,21,1
33.719,-118.32,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",1,12,1
33.719,-118.2947,INTIMATE PARTNER - SIMPLE ASSAULT,9,18,4
33.719,-118.2946,THEFT OF IDENTITY,1,16,1
33.719,-118.2879,VIOLATION OF RESTRAINING ORDER,1,6,1
33.7191,-118.2973,VEHICLE - STOLEN,3,18,2
33.7192,-118.2917,BURGLARY,3,2,1
33.7192,-118.2839,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",1,12,2
33.7194,-118.3216,BATTERY - SIMPLE ASSAULT,2,22,2
33.7194,-118.2981,THEFT PLAIN - PETTY ($950 & UNDER),1,11,1
33.7194,-118.283,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,0,1
33.7194,-118.2746,BATTERY POLICE (SIMPLE),1,8,1
33.7196,-118.3084,THEFT FROM MOTOR VEHICLE - ATTEMPT,1,2,1
33.7196,-118.2964,BURGLARY,1,21,1
33.7196,-118.2879,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1,23,1
33.7196,-118.2561,PICKPOCKET,1,10,1
33.7197,-118.2968,BURGLARY FROM VEHICLE,1,3,1
33.7197,-118.2947,INTIMATE PARTNER - SIMPLE ASSAULT,2,18,2
33.7197,-118.2946,INTIMATE PARTNER - SIMPLE ASSAULT,1,15,1
33.7197,-118.2929,BURGLARY FROM VEHICLE,1,0,1
33.7197,-118.2917,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),2,18,2
33.7197,-118.2916,THEFT OF IDENTITY,1,7,1
33.7197,-118.2907,BATTERY - SIMPLE ASSAULT,1,0,2
33.7197,-118.2898,THEFT OF IDENTITY,1,16,1
33.7197,-118.2889,INTIMATE PARTNER - SIMPLE ASSAULT,1,8,1
33.7198,-118.3243,TRESPASSING,1,9,1
33.7198,-118.3213,BURGLARY,1,19,1
33.7198,-118.2995,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2,19,3
33.7198,-118.2991,VEHICLE - STOLEN,2,19,2
33.7198,-118.2745,PICKPOCKET,1,0,1
33.7199,-118.3254,BURGLARY,1,2,1
33.72,-118.3056,BURGLARY,1,4,1
33.72,-118.3029,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1,20,1
33.72,-118.2984,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1,2,1
33.7201,-118.3196,VEHICLE - STOLEN,2,5,2
33.7201,-118.3115,THEFT OF IDENTITY,1,15,1
